id,name,count,time_spent
00ca1b70,Вероника,131,166.0
0178ce70,Василек,164,234.5
01abf4e9,Гацания,30,181.5
030a9067,Колокольчик,228,135.5
03740f2d,Василек,157,289.0
0410bffa,Люпин,13,136.0
04436944,Вероника,44,269.0
064568c3,Левкой,107,168.0
066224f8,Василек,293,341.0
06763a23,Василек,3079,234.0
06f6c215,Доротеантус,1802,240.5
07185daa,Василек,176,273.0
0797c15c,Колокольчик,274,161.5
07a98ce7,Роза,9,267.0
095eb5d1,Ромашка,44,168.5
0961ba91,Георгина,2177,267.0
09f693b3,Календула,2997,304.0
0a48fd86,Роза,51,379.0
0a757077,Роза,110,377.0
0be1f18c,Календула,992,344.5
0c135897,Василек,329,239.0
0c1e0ac4,Василек,215,216.0
0ce15a18,Арктотис,70,190.5
0d62afd7,Василек,370,214.5
0d905445,Аммобиум,296,186.5
0e98a027,Гелихризум,235,342.0
0f09dad2,Мальва,184,185.0
0f135821,Календула,483,203.0
0f48a73a,Люпин,14,241.0
0fb53507,Роза,55,430.0
11976f8d,Календула,1455,298.0
11bf0db6,Гейхера,176,171.5
13278412,Василек,1257,358.0
134733ab,Василек,2761,258.0
1405ecea,Василек,209,280.0
14a8cf21,Доротеантус,471,222.0
14e5345e,Роза,72,301.5
16a38e44,Мальва,158,209.0
16c0e6c8,Малопа,46,202.5
16c17bfa,Календула,603,254.0
17c2d814,Колокольчик,152,138.5
17c8789c,Немезия,482,262.5
17de5264,Мальва,823,186.0
1826ef9e,Василек,125,285.0
19ecd473,Колокольчик,527,175.0
1b2da6a2,Георгина,2517,301.0
1b416d88,Василек,230,233.5
1d656e4f,Люпин,57,228.0
1e046bff,Календула,422,202.5
1e1951a7,Лаватера,220,325.5
1e7caa53,Василек,69,258.0
1f134acf,Василек,385,417.0
1f1b5d1d,Малопа,39,241.0
1f87b9b6,Колокольчик,442,149.5
2107bda1,Календула,1711,297.0
2132b7ea,Василек,35,244.0
222174f9,Василек,64,226.0
2224be09,Люпин,77,243.0
222a09b6,Амарант,107,149.0
22fe0470,Календула,261,174.0
236dd828,Вербена,58,150.0
243e357b,Немезия,67,234.0
252b349a,Георгина,1123,293.0
25713b4c,Мальва,652,180.0
26014bad,Василек,123,301.0
278997a3,Немезия,1086,207.0
28008ad4,Василек,1229,291.0
28503bcb,Василек,549,252.0
286fd460,Мальва,391,160.0
28b2e804,Вероника,34,190.0
28fb12c3,Календула,1194,250.5
295a4f5a,Василек,501,298.0
2a03d4a9,Гейхера,852,233.5
2b2161b4,Василек,489,207.0
2c5e4ef0,Вербена,103,214.0
2ccb6bf4,Люпин,9,210.0
2d20c2a4,Василек,691,263.0
2e9ce5c9,Календула,1031,233.0
304bbbe8,Василек,62,215.0
3060da0a,Василек,34,192.5
3137a66c,Календула,2735,266.0
3141e6e8,Роза,20,312.0
32a17ee7,Обриета,13,167.0
344786f2,Василек,2708,294.0
34c38b18,Доротеантус,840,202.0
3525a9a4,Календула,1091,203.0
35422217,Календула,2928,260.0
3718787f,Василек,96,421.5
3754b4e6,Лаватера,135,364.0
38450bc7,Василек,82,264.5
391b2d81,Агератум,12,145.0
39fbf52a,Мальва,51,168.0
3a253fde,Василек,279,160.0
3a599cf6,Амарант,358,216.5
3a789e90,Василек,331,281.0
3af3bb71,Агератум,434,308.5
3c1e4c52,Василек,3038,254.0
3c490aed,Василек,257,263.0
3e506c4e,Календула,1562,232.0
3e79a7b5,Мальва,57,197.0
3ef17de6,Календула,1122,247.0
4115d398,Василек,108,246.5
426c1b60,Василек,1096,193.0
4402d00f,Гейхера,98,192.0
4497f4f1,Роза,57,331.0
452084b4,Календула,571,285.0
45ae91b8,Тюльпан,235,244.0
463247c8,Астильба,24,468.5
464b8a76,Колокольчик,307,201.0
46df0d23,Роза,26,329.0
46f3dd39,Колокольчик,419,163.0
470c8f20,Мальва,362,218.0
489fee84,Календула,780,179.5
49192a51,Василек,11,173.0
4a35b8a3,Тюльпан,35,195.0
4b3820fb,Василек,324,211.5
4b5f2af5,Немезия,581,285.0
4b6ef679,Василек,301,250.0
4d456d00,Василек,93,299.0
4e3979dd,Немезия,183,218.0
4efc5be1,Малопа,14,204.0
4f2b556f,Василек,313,341.0
51796d6e,Роза,119,378.0
521294b7,Василек,77,296.0
522cd798,Немезия,335,261.0
52478520,Люпин,163,179.0
52712996,Бальзамин,351,158.0
52e36eb6,Доротеантус,343,254.0
53e9ac82,Немезия,370,227.5
5410e876,Василек,767,353.0
54287f29,Василек,47,209.0
545bede8,Ромашка,127,204.0
552aa463,Василек,376,330.5
557b582e,Амарант,66,169.0
55d4ed8f,Пион,56,180.0
5636c78e,Аммобиум,206,171.0
57075539,Василек,211,385.0
573f3c48,Василек,81,187.0
5742be01,Василек,306,256.0
575e4969,Василек,149,232.0
596bc114,Мальва,62,173.5
5b13bf4b,Астильба,26,410.0
5b5e7463,Гвоздика,77,196.0
5ba7a32b,Колокольчик,354,138.0
5de8de72,Бегония,182,180.5
61554ddf,Календула,1775,273.0
6258bb48,Василек,61,155.0
627ea5e3,Левкой,710,230.5
629a83c2,Диморфотека,6,214.0
62cde733,Георгина,1944,249.0
630ab9b5,Немезия,854,215.0
631b3d1c,Роза,8,255.5
647a93f7,Василек,32,185.5
64881fad,Роза,42,315.5
654881a2,Роза,48,188.5
675b6189,Календула,285,203.0
6826df27,Мальва,53,147.0
689f8965,Люпин,32,289.0
