region;country;total_cases;imported_cases;deaths;case_fatality_rate;notes
Азия;Афганистан;33;0;1;3;NaN
Азия;Индия;385;NaN;3;0.7;NaN
Азия;Иран;634;625;4;0.6;NaN
Азия;Йемен;1032481;0;2261;0.2;NaN
Азия;Китай;14;NaN;0;0;NaN
Азия;Катар;5;5;0;0;NaN
Азия;Малайзия;2;0;0;0;NaN
Азия;Непал;7;NaN;0;0;NaN
Азия;ОАЭ;12;12;0;0;NaN
Азия;Саудовская Аравия;5;5;0;0;NaN
Азия;Сингапур;3;3;0;0;NaN
Азия;Таиланд;8;0;0;0;NaN
Азия;Филиппины;134;NaN;2;1.5;NaN
Азия;Южная Корея;5;5;0;0;NaN
Азия;Япония;7;5;0;0;NaN
Америка;Гаити;13681;0;159;1.2;NaN
Америка;Доминиканская Республика;122;0;4;3.3;NaN
Америка;Канада;4;3;0;0;NaN
Америка;США;11;9;0;0;NaN
Африка;Все страны;179835;NaN;3220;1.8;нет информации о завозных случаях
Европа;Все страны;NaN;NaN;NaN;NaN;нет сообщений за 2017 год
Океания;Австралия;3;3;0;0;NaN
Мир;Все страны;1227391;675;5654;0.5;NaN
